"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"gNpDAxGprRHrjh@ !Bb@K~_{\BbOvH@oy?","1,1′-Methylenebis[1,1-dimethylphosphine]","64065-08-3","C5H14P2","136.11","methylene bridge","","211 results","","58 structures<NL>Ir, Ru, Mo, Fe, Ni, Re, Co, W, Mn, Cr, U, Os","MB-1","Opt, SPE, NoRh",""
"dax@P@|B|LdbaeUT@@ !BbOw~@K_}b@K~_xc}?`@","Phosphine, ethylidenebis[dimethyl-","95837-98-2","C6H16P2","150.14","monosubstituted C-bridge","https://www.degruyter.com/document/doi/10.1515/znb-1984-1111/html","Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1984), 39B(11), 1518-28","","0 structures","MB-2","Opt, SPE, NoRh",""
"def@PJCpKprRJFJUUU@@ !BbOw~@K_}?g~H@k_}bOvH?_x@","1,1-Bis(dimethylphosphino)-N,N-dimethylmethanamine","40207-88-3","C7H19NP2","179.18","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X0088331X","Journal of Organometallic Chemistry (1972), 46(2), 297-304","","0 structures","MS-70","Opt, SPE, NoRh","Methanamine, 1,1-bis(dimethylphosphino)-N,N-dimethyl-"
"dmLBPHSaCp[prRIHqHjeZjjj`@ !BTMIN_w_|UGm@VW_}K}Hq_rm{Oud","2,2′-Methylenebis[1,3,2-dioxaphospholane]","129195-14-8","C5H10O4P2","196.08","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/ic00344a049","Inorg. Chem. 1990, 29, 19, 3896–3898","","0 structures","MB-3","Opt, SPE, NoRh",""
"dmT@P@|A|Ldbbb\jjj`@ !B?`BH?[_}bOrw?H`B?g~w@ox@m?t","[[Bis(1-methylethyl)phosphino]methyl]dimethylphosphine","905831-48-3","C9H22P2","192.22","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>https://www.sciencedirect.com/science/article/abs/pii/S0020169306000156?via%3Dihub","Inorganica Chimica Acta (2006), 359(10), 3191-3196<NL>Science of Synthesis (2009), 42, 109-154","","YELNEJ (Ni)","MB-4","Opt, SPE, NoRh",""
"dmT@P@|B|LdbRTJjjj`@ !B_?xBb@Jw?X`@?ovw?Ha??ovH?[\","1,1′-Methylenebis[1,1-diethylphosphine]","75668-08-5","C9H22P2","192.22","methylene bridge","","Organometallics (2012), 31(6), 2286-2301<NL>Dalton Transactions (2009), (35), 7269-7287<NL>Science of Synthesis (2009), 42, 109-154<NL>Inorganic Chemistry (2003), 42(13), 4117-4126<NL>Inorganica Chimica Acta (1992), 198-200, 257-70<NL>Zhurnal Obshchei Khimii (1980), 50(8), 1881-2","","IHUHID (Pd)","MB-5","Opt, SPE, NoRh",""
"dmT@P@|F|LdbblTjjjdAM@@ !Bm?vH?_x@mpK~_x`BbOw~@Oy?b@H","Phosphine, methylenebis[methyl(1-methylethyl)-, (1R,1′R)-","224618-27-3","C9H22P2","192.22","methylene bridge","https://pubs.acs.org/doi/10.1021/jo990131m","J. Org. Chem. 1999, 64, 9, 2988–2989<NL>Chemische Berichte (1984), 117(12), 3414-22 (rac)","","0 structures","MB-6","Opt, SPE, SPE_NoRh",""
"dmT@p@|B|J\DjWfjjjj@h@ !BmwvH__x@mpJH@ox@mwvH@ovH@k\","Phosphine, dimethyl[[methyl[(trimethylsilyl)methyl]phosphino]methyl]-","87648-03-1","C8H22P2Si","208.29","methylene bridge","https://www.degruyter.com/document/doi/10.1515/znb-1983-0823/html<NL>","Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1983), 38B(8), 1027-30","","0 structures","MB-7","Opt, SPE, NoRh",""
"dmTBPHSaCp[prRIHqJjjj@@ !B?Ha??orw?Xc}mpC~@k\BbOvw@Ox","Phosphonous acid, methylenebis-, tetramethyl ester","63366-55-2","C5H14O4P2","200.11","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/om00117a062<NL>-<NL>-<NL>-","Organometallics (1990), 9(3), 880-2<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1987), (9), 2117-24<NL>Chemiker-Zeitung (1977), 101(5), 259-60<NL>Zhurnal Obshchei Khimii (1977), 47(4), 775-81","","0 structures","MB-8","Opt, SPE, NoRh",""
"dcL@P@|B|LdbbtRKSUMUR@@ !B@ha??`Jw@Oy}bGvH@h`Bmw?~_?y}b@","6-(Dimethylphosphino)-1,2-dihydro-1,3,4-trimethylphosphorin","174678-16-1","C10H18P2","200.20","monosubstituted","https://pubs.acs.org/doi/10.1021/om950873f","Organometallics (1996), 15(6), 1597-603","","0 structures","DS-1","Opt, SPE, NoRh",""
