Name,Type,%Vbur,Bite angle,P1–M (Å),P2–M (Å),Avg. P–M (Å),Metal center
ACIVIR,PC1P,0.4727275903838986,71.7106766412147,2.2492063044549737,2.252672412935356,2.250939358695165,Pd
AJINAK,PC1P,0.5097255870294447,72.64049238656156,2.222618500777855,2.2371919899731454,2.2299052453755,Rh
AJINEO,PC1P,0.5272898807305255,72.83458537250394,2.261113663662223,2.231257268895723,2.246185466278973,Rh
AJINIS,PC1P,0.5279304882594111,72.99030037802103,2.297025250187729,2.326493928640261,2.311759589413995,Rh
AKEGEC,PC1P,0.4253925177040626,71.5223995363754,2.2813268069261805,2.2941074517118847,2.2877171293190326,Ru
AKEGOM,PC1P,0.4363236116287737,71.73856278292769,2.2966841315252737,2.297817660302924,2.2972508959140985,Ru
AKEHAZ,PC1P,0.4305930860976519,70.71676274988097,2.273553166301593,2.275596185618177,2.2745746759598853,Ru
ALECAV,PC1P,0.4564969250838613,71.99166470877888,2.243436203683984,2.240300649466496,2.24186842657524,Ru
AVEDIO,PC1P,0.5243372623928438,74.16778777989566,2.321787242621512,2.321787242621512,2.321787242621512,Ru
AVEDUA,PC1P,0.524581857994782,73.27492050960238,2.3265601217247758,2.3161636384331734,2.3213618800789746,Ru
AVEFEM,PC1P,0.5402476239284383,73.56729174280277,2.3115635401173824,2.3097874361074875,2.3106754881124347,Ru
AVEFIQ,PC1P,0.5202664927320164,73.27252660349725,2.3112338696029884,2.347615598857701,2.3294247342303445,Ru
AVEFOW,PC1P,0.5390304696235557,74.01495944050595,2.2994238408784056,2.3125784311023927,2.306001135990399,Ru
AXENOH,PC1P,0.4560077338799851,72.61753710592065,2.253073678333667,2.251979795646489,2.2525267369900783,Ru
BADZIQ,PC1P,0.4406156820723071,72.33365451146858,2.414773281283359,2.2354889845400714,2.3251311329117152,Pd
BASNOB,PC1P,0.4266912038762579,72.3111748674673,2.285754142509644,2.273932716682708,2.279843429596176,Ru
BASPAP,PC1P,0.419463986209467,70.92006302452158,2.2583137514526177,2.3136250776649177,2.2859694145587675,Ru
BEBZOX,PC1P,0.4594553671263511,71.29713866743505,2.2437366155589653,2.235901160606166,2.2398188880825654,Ru
BEWPEZ,PC1P,0.4923709467014536,72.54113876867484,2.3373561987852858,2.2868972429910355,2.312126720888161,Rh
BICLEH,PC1P,0.4329458628401043,73.12682893833987,2.2682513088280145,2.255329909348075,2.261790609088045,Ru
BIJPEP,PC1P,0.5041988911666045,72.8403281366018,2.235023266098141,2.216594911119305,2.225809088608723,Rh
CENVEY,PC1P,0.4459443719716735,70.91729299132967,2.2965541578634707,2.292232754324918,2.2943934560941943,Ru
CENVOI,PC1P,0.4018006895266492,69.10639119143366,2.3303737897599177,2.326372498118047,2.3283731439389825,Ru
CIFREQ,PC1P,0.5203014349608647,72.63440931453522,2.224693462030219,2.236197442087796,2.230445452059008,Rh
DAGVAI,PC1P,0.4668631196421915,73.6591046864092,2.2395733968771823,2.2312610784038696,2.235417237640526,Pd
DARPUK,PC1P,0.497932584793142,73.22609525105678,2.2156649114881968,2.2267060874753994,2.2211854994817983,Pd
DIYLED,PC1P,0.4331962821468505,71.81133588940358,2.282228297081605,2.30604661704832,2.294137457064962,Ru
DOVPAF,PC1P,0.4342620201267238,70.73822850080255,2.256533181674933,2.2524906215121074,2.25451190159352,Ru
DPMCPD,PC1P,0.4956846347372344,72.71514672977398,2.234362996471254,2.249000222321021,2.2416816093961374,Pd
EJUYUE,PC1P,0.4376921822586657,71.19123078510493,2.384367631050212,2.2992607507631666,2.341814190906689,Pd
FAJJOP,PC1P,0.4579877935147223,72.93443897608032,2.233881375543473,2.21348910094448,2.223685238243976,Rh
FERVUT,PC1P,0.5240286060380172,73.50319995876148,2.332460074685096,2.3429378993050585,2.3376989869950773,Ru
FUNGAW,PC1P,0.4667175270219903,73.55087328153056,2.240163833294342,2.252535904264348,2.246349868779345,Pd
GALYIB,PC1P,0.4778058609765188,72.41941236587289,2.302390062521987,2.286286727425062,2.2943383949735248,Rh
GIFXEZ,PC1P,0.4676959094297428,72.1786800630775,2.3453718255321485,2.270537601538456,2.3079547135353025,Ru
GIFXOJ,PC1P,0.4441914368244502,72.1663737252371,2.3668124133526085,2.385629895855598,2.376221154604103,Rh
GUZTIE,PC1P,0.4173907472978009,71.4434066408386,2.3315647106610617,2.3305958465594165,2.331080278610239,Ru
HACVIQ,PC1P,0.4103324170704435,70.80242826211102,2.331071427477073,2.3319024422132246,2.331486934845149,Ru
HEFLOW,PC1P,0.4542082090942974,72.97682393184692,2.224008318329767,2.215310813407455,2.2196595658686107,Rh
