Unnamed: 0,ligand,homo,lumo,dipole,rh_charge,rh_LP_1_occ,rh_LP_1_eng,rh_LP_2_occ,rh_LP_2_eng,rh_LP_3_occ,rh_LP_3_eng,rh_LP_4_occ,rh_LP_4_eng,bite_angle,homo_no_rh,lumo_no_rh,dipole_no_rh,r1_nbo,r2_nbo,r3_nbo,r4_nbo,bridge_nbo,p1_nbo,p2_nbo,c1_nbo,c2_nbo,c3_nbo,c4_nbo,p1_nmr,p1_nmr_aniso,p2_nmr,p2_nmr_aniso,p1_rh_bond_occ,p2_rh_bond_occ,p1_rh_bond_eng,p2_rh_bond_eng,p1_rh_antibond_occ,p2_rh_antibond_occ,p1_rh_antibond_eng,p2_rh_antibond_eng,p1_r1_bond_occ,p1_r2_bond_occ,p2_r3_bond_occ,p2_r4_bond_occ,p1_r1_bond_eng,p1_r2_bond_eng,p2_r3_bond_eng,p2_r4_bond_eng,p1_r1_antibond_occ,p1_r2_antibond_occ,p2_r3_antibond_occ,p2_r4_antibond_occ,p1_r1_antibond_eng,p1_r2_antibond_eng,p2_r3_antibond_eng,p2_r4_antibond_eng,p1_bridge_bond_occ,p2_bridge_bond_occ,p1_bridge_bond_eng,p2_bridge_bond_eng,p1_bridge_antibond_occ,p2_bridge_antibond_occ,p1_bridge_antibond_eng,p2_bridge_antibond_eng,c1_rh_dist,c2_rh_dist,c3_rh_dist,c4_rh_dist,p1_c1_dist,p1_c2_dist,p2_c3_dist,p2_c4_dist,p1_bridge_dist,p2_bridge_dist,p1_angle_sum,p2_angle_sum,rh_p1_bridge_angle,rh_p2_bridge_angle,r1_p1_rh_angle,r2_p1_rh_angle,r3_p2_rh_angle,r4_p2_rh_angle,r1_p1_bridge_angle,r2_p1_bridge_angle,r3_p2_bridge_angle,r4_p2_bridge_angle,p1_nbo_no_rh,p2_nbo_no_rh,r1_nbo_no_rh,r2_nbo_no_rh,r3_nbo_no_rh,r4_nbo_no_rh,bridge_nbo_no_rh,p1_nmr_no_rh,p1_nmr_aniso_no_rh,p2_nmr_no_rh,p2_nmr_aniso_no_rh,p1_LP_occ_no_rh,p1_LP_eng_no_rh,p2_LP_occ_no_rh,p2_LP_eng_no_rh,p1_r1_bond_occ_no_rh,p1_r2_bond_occ_no_rh,p2_r3_bond_occ_no_rh,p2_r4_bond_occ_no_rh,p1_r1_bond_eng_no_rh,p1_r2_bond_eng_no_rh,p2_r3_bond_eng_no_rh,p2_r4_bond_eng_no_rh,p1_r1_antibond_occ_no_rh,p1_r2_antibond_occ_no_rh,p2_r3_antibond_occ_no_rh,p2_r4_antibond_occ_no_rh,p1_r1_antibond_eng_no_rh,p1_r2_antibond_eng_no_rh,p2_r3_antibond_eng_no_rh,p2_r4_antibond_eng_no_rh,p1_bridge_bond_occ_no_rh,p2_bridge_bond_occ_no_rh,p1_bridge_bond_eng_no_rh,p2_bridge_bond_eng_no_rh,p1_bridge_antibond_occ_no_rh,p2_bridge_antibond_occ_no_rh,p1_bridge_antibond_eng_no_rh,p2_bridge_antibond_eng_no_rh,p1_LP_s_occ_no_rh,p2_LP_s_occ_no_rh,Vbur%_1.0,NE_1.0,NW_1.0,SE_1.0,SW_1.0,Vbur%_2.0,NE_2.0,NW_2.0,SE_2.0,SW_2.0,Vbur%_3.0,NE_3.0,NW_3.0,SE_3.0,SW_3.0,Vbur%_4.0,NE_4.0,NW_4.0,SE_4.0,SW_4.0,Vbur%_5.0,NE_5.0,NW_5.0,SE_5.0,SW_5.0,Vbur%_6.0,NE_6.0,NW_6.0,SE_6.0,SW_6.0
0.0,cyPAMP,-0.30367,-0.15834,1.6275,-0.37258,1.98066,-0.30583,1.95467,-0.35714,1.80674,-0.32007,1.78642,-0.31879,97.67017,-0.17719,-0.02659,1.562,-0.47383,-0.47279,-0.37919,-0.32717,-0.98813,1.12506,1.11519,-0.17876,-0.16642,-0.15116,-0.19072,304.6265,81.2436,328.7149,95.7799,1.89104,1.88684,0.5131,0.52135,0.27214,0.27949,0.2085,0.21962,1.96054,1.96212,1.95935,1.95807,0.65791,0.66289,0.68946,0.68443,0.0639,0.07306,0.06044,0.06982,0.06405,0.06133,0.09205,0.09375,1.97082,1.96493,0.65704,0.65422,0.03688,0.04571,0.05478,0.0553,2.287975,2.243753,2.233123,2.274963,4.6235,4.534237,4.465326,4.64513,1.87087,1.875711,323.569963,317.224094,93.143783,92.856726,113.998148,121.965641,122.206764,121.156216,104.289957,106.311033,107.200651,104.375577,0.80515,0.85196,-0.48739,-0.48105,-0.36739,-0.30832,-1.01442,222.2651,100.6094,255.9122,71.5528,1.92238,-0.31264,1.88471,-0.32601,1.96138,1.96051,1.95988,1.95255,0.50446,0.50379,0.54261,0.53477,0.0423,0.05256,0.03849,0.05164,0.19457,0.19886,0.22046,0.22349,1.96939,1.9602,0.52236,0.51939,0.02299,0.02965,0.18833,0.18685,45.4,46.63,39.503386,39.164786,39.841986,39.841986,39.164786,41.619318,41.335227,41.658058,41.567665,41.916322,42.634461,39.813021,45.709178,38.926549,46.089094,44.684144,42.702191,48.341195,40.650798,47.042393,42.874909,44.303239,46.613951,38.696351,41.886096,38.688149,42.962039,41.986031,35.033335,34.771191
1.0,dcPAMP,-0.30529,-0.16003,0.4737,-0.35437,1.98307,-0.30775,1.95815,-0.35837,1.79868,-0.32082,1.79172,-0.32164,98.88272,-0.1808,-0.02698,1.6208,-0.32703,-0.37531,-0.26156,-0.25747,-1.00403,1.113,1.07583,-0.1825,-0.1591,-0.16198,-0.18783,329.4794,92.1794,284.1927,142.2856,1.88777,1.88893,0.52275,0.50748,0.298,0.28622,0.22494,0.23447,1.95545,1.95671,1.94513,1.94404,0.68156,0.68772,0.64325,0.64121,0.06442,0.06635,0.08807,0.08339,0.09105,0.08796,0.03208,0.03262,1.96642,1.96963,0.65587,0.65523,0.04388,0.03547,0.05467,0.0485,2.293697,2.250761,2.230352,2.268448,4.649177,4.510526,4.539233,4.659798,1.875645,1.881603,315.832489,322.406204,94.913871,93.198807,117.955336,125.244024,121.305423,115.069904,104.146542,107.451848,104.381033,104.226802,0.84335,0.78655,-0.31009,-0.35991,-0.27496,-0.27123,-1.02628,253.9884,105.6552,191.0773,95.4664,1.89723,-0.32827,1.93149,-0.33099,1.95262,1.95834,1.94361,1.94394,0.53522,0.53756,0.48277,0.48341,0.04291,0.04555,0.06088,0.05878,0.22099,0.22123,0.17073,0.16929,1.96299,1.96974,0.52014,0.52062,0.02856,0.02257,0.18742,0.18351,46.97,48.62,37.923251,35.778781,40.06772,40.06772,35.778781,42.323089,40.379649,43.840393,42.058368,43.013946,46.943906,46.342372,49.869636,41.448153,50.115465,49.51741,49.975172,51.770529,43.346161,52.977779,47.315009,47.872189,47.901359,43.261802,50.224685,40.866479,40.639485,40.90571,39.863032,42.05769
2.0,dcpa,-0.30559,-0.1567,0.4496,-0.37791,1.98391,-0.30623,1.94745,-0.35936,1.80914,-0.32195,1.79293,-0.32288,103.738745,-0.17352,0.01321,2.0445,-0.50689,-0.50196,-0.49297,-0.50524,-1.02404,1.3458,1.31383,-0.17089,-0.18,-0.17269,-0.17505,209.8592,55.4138,219.0018,62.6284,1.87377,1.87888,0.51038,0.51026,0.29656,0.29625,0.23742,0.23402,1.95593,1.9581,1.95693,1.95777,0.65732,0.6602,0.65052,0.65861,0.0861,0.08702,0.08341,0.0836,0.0641,0.0645,0.05586,0.06438,1.9717,1.97096,0.79876,0.78774,0.06539,0.05937,0.07669,0.07108,2.287459,2.271286,2.251535,2.266621,4.559553,4.581616,4.559876,4.57845,1.734403,1.744536,322.075695,318.136986,93.012476,91.951613,123.049789,117.501484,119.607892,123.687443,107.664135,110.233324,105.199428,107.038234,1.02645,1.02137,-0.51308,-0.50781,-0.50744,-0.51665,-1.0318,151.4276,196.8524,152.0634,194.5931,1.90797,-0.31521,1.91693,-0.32551,1.95796,1.95756,1.95723,1.96007,0.50042,0.50206,0.49247,0.50032,0.06486,0.06925,0.06296,0.06606,0.20235,0.20275,0.19516,0.20319,1.97266,1.97049,0.66011,0.64957,0.04489,0.04063,0.21808,0.21192,47.1,48.79,40.011287,38.939052,41.083521,41.083521,38.939052,41.793647,41.02531,42.006715,43.181818,40.960744,44.885094,44.632747,44.100119,47.798719,43.00879,48.101064,47.331016,48.072745,48.895165,48.105332,46.662633,45.645833,47.370786,46.110971,47.522942,41.961087,40.722935,42.928024,41.100277,43.093111
3.0,diprpa,-0.31343,-0.1642,1.7617,-0.38593,1.98416,-0.31577,1.94642,-0.36749,1.81254,-0.33011,1.79768,-0.33068,103.540438,-0.17689,0.01541,2.1866,-0.50002,-0.49166,-0.48384,-0.49671,-1.02352,1.32313,1.29192,-0.16756,-0.17767,-0.16951,-0.17249,202.3544,55.1351,213.5486,62.641,1.87744,1.88232,0.5271,0.52695,0.29241,0.2915,0.22121,0.21704,1.95559,1.95675,1.95593,1.95734,0.66439,0.66562,0.65675,0.66495,0.09166,0.09289,0.08927,0.08941,0.04633,0.04836,0.04062,0.04557,1.97231,1.97155,0.80858,0.79797,0.06663,0.06048,0.06727,0.06172,2.29103,2.273026,2.255099,2.270982,4.560647,4.580108,4.558494,4.580383,1.7339,1.743806,321.8151,317.85722,93.104161,92.088406,122.832215,117.830476,119.678635,123.794419,107.604197,110.032855,105.196617,106.98935,1.0011,0.99555,-0.50952,-0.50375,-0.50155,-0.51126,-1.03132,146.481,192.5429,150.2884,193.4126,1.91034,-0.32174,1.91932,-0.33206,1.95857,1.95677,1.95688,1.96065,0.501,0.50126,0.49267,0.49943,0.06925,0.07413,0.06779,0.07076,0.19448,0.19369,0.18693,0.19414,1.97301,1.97095,0.66345,0.6536,0.046,0.04139,0.21488,0.20968,48.02,49.79,40.349887,39.503386,41.196388,41.196388,39.503386,41.890496,41.128616,42.135847,43.168905,41.128616,44.570359,44.018176,43.988379,47.601311,42.67357,47.915244,47.070325,48.018435,48.677922,47.894296,45.769804,44.875595,46.616316,44.82514,46.762165,37.797066,37.065173,38.606286,36.490544,39.02626
4.0,DS-10,-0.30313,-0.17047,1.5365,-0.39825,1.98238,-0.30666,1.95305,-0.35787,1.80014,-0.31637,1.80009,-0.32459,99.136284,-0.18427,-0.05047,3.3756,-0.34363,-0.3381,-0.33811,-0.34363,-0.69129,1.12951,1.12948,-0.17785,-0.15554,-0.15549,-0.17793,288.6045,76.8896,288.6267,76.8688,1.88,1.87999,0.51341,0.51338,0.27417,0.27419,0.27026,0.27025,1.95783,1.95805,1.95806,1.95783,0.68635,0.68553,0.68554,0.68635,0.06728,0.0669,0.06689,0.06728,0.09578,0.09631,0.09632,0.09579,1.9345,1.9345,0.66607,0.66607,0.08364,0.08363,0.07896,0.07896,2.286139,2.249521,2.24944,2.286039,4.608185,4.524687,4.524485,4.608274,1.858175,1.85817,321.402194,321.406246,93.632534,93.630549,120.813154,119.08665,119.08843,120.808892,106.744573,108.697943,108.699851,106.743566,0.85061,0.85075,-0.33341,-0.32286,-0.32357,-0.3331,-0.70459,217.2724,106.089,217.2856,106.1065,1.86894,-0.32208,1.86887,-0.32209,1.95399,1.95775,1.95777,1.954,0.54466,0.54475,0.54507,0.54441,0.0486,0.04809,0.04807,0.04863,0.21912,0.22021,0.22049,0.21883,1.92467,1.92468,0.53997,0.54,0.05925,0.05922,0.19992,0.19993,44.59,44.59,40.744921,40.744921,40.744921,40.744921,40.744921,42.871901,42.329545,43.414256,42.329545,43.414256,42.929641,38.624851,47.228844,38.624851,47.240018,43.688706,40.213208,47.158774,40.211657,47.171187,41.628299,40.666488,42.586169,40.668853,42.591687,37.426641,37.590367,37.261554,37.592635,37.262007
5.0,DS-11,-0.30256,-0.17061,0.5123,-0.3769,1.9758,-0.3049,1.95112,-0.358,1.80342,-0.31956,1.78917,-0.32109,99.192291,-0.18231,-0.05176,2.6098,-0.35382,-0.36008,-0.34871,-0.3555,-0.60346,1.12379,1.10661,-0.16722,-0.16344,-0.14753,-0.18871,287.3675,86.1999,294.9562,80.404,1.87212,1.87191,0.50998,0.50428,0.27753,0.27641,0.26928,0.26729,1.95649,1.9585,1.95771,1.95797,0.68501,0.68715,0.68308,0.68487,0.05887,0.0718,0.0606,0.07066,0.10403,0.1031,0.10278,0.10347,1.95036,1.9506,0.67554,0.67259,0.0697,0.06631,0.08601,0.08492,2.290995,2.250947,2.235907,2.269784,4.592998,4.548535,4.482514,4.629452,1.84999,1.853685,321.859009,320.72499,92.009894,91.284229,117.227648,123.282385,119.129131,122.982818,106.512932,108.806172,107.379022,107.387096,0.83058,0.83309,-0.34165,-0.33404,-0.33412,-0.33722,-0.61445,236.5961,95.1265,235.1766,82.5658,1.86515,-0.31214,1.86227,-0.31485,1.95239,1.95775,1.95515,1.95473,0.54529,0.54166,0.54397,0.54136,0.03794,0.05391,0.03981,0.05425,0.22366,0.22844,0.22542,0.22799,1.94847,1.9482,0.55049,0.54771,0.04996,0.04825,0.20848,0.20681,42.81,43.22,40.180587,39.503386,40.857788,40.857788,39.503386,42.235925,41.516012,43.517562,42.355372,41.554752,42.779723,38.792461,48.148838,39.976907,44.200685,43.721293,40.422693,47.684812,41.758736,45.018931,41.32931,39.719656,43.575573,40.697234,41.324777,36.609143,35.770783,38.222142,36.185315,36.258334
6.0,DS-12,-0.32419,-0.22157,6.3055,-0.38384,1.95867,-0.32243,1.94671,-0.37985,1.81882,-0.33911,1.80666,-0.34697,97.991357,-0.20552,-0.11673,4.5379,-0.35731,-0.34939,-0.35777,-0.34851,-0.44064,1.13427,1.13242,-0.1827,-0.14803,-0.17405,-0.15215,276.5085,113.152,275.6776,114.1783,1.8605,1.85986,0.53223,0.53113,0.28505,0.28563,0.27318,0.27469,1.95813,1.95349,1.95825,1.95323,0.71027,0.70759,0.71064,0.70747,0.07236,0.06081,0.07376,0.05951,0.08427,0.08106,0.08432,0.08141,1.94571,1.94591,0.69863,0.69868,0.06976,0.06902,0.04436,0.04419,2.292533,2.270125,2.26448,2.298393,4.616672,4.493885,4.569313,4.560468,1.865768,1.865829,323.105779,322.840763,91.246828,91.115627,120.602925,119.119868,122.067027,117.96252,110.123592,105.106263,109.821753,105.338542,0.85051,0.85485,-0.33423,-0.33738,-0.33551,-0.33703,-0.44186,224.0147,112.9245,221.901,115.9478,1.85447,-0.33774,1.85129,-0.33952,1.95885,1.94749,1.95852,1.94698,0.56695,0.56958,0.56622,0.57049,0.05444,0.03552,0.05643,0.03518,0.20666,0.19865,0.20646,0.19796,1.94507,1.94528,0.57668,0.57681,0.04874,0.04808,0.16688,0.16666,43.36,43.62,42.325056,42.099323,42.55079,42.55079,42.099323,43.259298,42.755682,42.94938,43.78874,43.543388,45.265942,42.431466,43.373808,47.571514,47.686979,45.789755,44.148408,45.14307,46.803426,47.064118,42.544582,42.313393,43.184542,42.117877,42.562518,38.507075,39.264819,40.060774,37.093292,37.609415
7.0,DS-13,-0.31653,-0.18198,5.159,-0.38615,1.98128,-0.32342,1.94219,-0.37282,1.8119,-0.33312,1.80817,-0.3388,91.897046,-0.20421,-0.07539,2.3166,-0.37525,-0.35055,-0.37191,-0.37165,-0.72651,1.15563,1.14145,-0.17488,-0.15709,-0.15094,-0.18107,244.7509,88.9162,225.99,180.4065,1.86428,1.86888,0.53002,0.52951,0.29989,0.29245,0.2945,0.30456,1.95697,1.9554,1.95797,1.95611,0.70757,0.70172,0.70933,0.70764,0.06896,0.05735,0.07454,0.05231,0.08132,0.07617,0.07503,0.07712,1.91888,1.89369,0.65764,0.6317,0.09715,0.12209,0.01532,0.03961,2.301061,2.257061,2.260519,2.297668,4.615749,4.524327,4.496338,4.631608,1.963802,2.008452,324.11206,327.105914,94.176928,92.963494,123.219993,114.485509,122.355305,112.986124,110.443207,108.987858,109.866982,109.141675,0.89327,0.8739,-0.36159,-0.34,-0.35571,-0.36658,-0.74021,170.1929,135.2798,150.7487,240.4139,1.86673,-0.35218,1.88859,-0.35518,1.95502,1.95807,1.95863,1.95925,0.56111,0.56233,0.5645,0.569,0.05417,0.03723,0.05645,0.03208,0.20556,0.2007,0.20031,0.19922,1.90804,1.88019,0.52295,0.49826,0.06702,0.08614,0.11281,0.08922,47.92,48.78,41.760722,41.647856,41.873589,41.873589,41.647856,44.918647,43.052686,43.530475,42.807335,50.284091,48.148838,47.124553,49.88081,41.276818,54.31317,48.793526,49.255167,52.12898,42.494259,51.295699,46.123388,46.4886,48.53442,42.633471,46.83706,41.449159,41.922083,42.076285,39.796816,42.001451
8.0,DS-14,-0.30063,-0.1625,1.7656,-0.38465,1.98155,-0.30356,1.95454,-0.35612,1.79815,-0.32254,1.79682,-0.31386,101.083122,-0.18445,-0.03886,4.8315,-0.34123,-0.34387,-0.34247,-0.34331,-0.90982,1.16109,1.16065,-0.18068,-0.15288,-0.1681,-0.16571,304.0487,96.6072,301.7447,95.4973,1.87906,1.87961,0.50872,0.50908,0.27317,0.27381,0.26675,0.26662,1.95765,1.95743,1.95765,1.95748,0.68236,0.68255,0.68255,0.68245,0.07545,0.08007,0.07678,0.07821,0.09873,0.09533,0.09859,0.09565,1.92994,1.93023,0.68024,0.68003,0.05947,0.06017,0.09669,0.09609,2.274528,2.244349,2.245936,2.273401,4.61607,4.505391,4.555056,4.579991,1.824365,1.824921,322.547332,322.458773,92.868926,92.815222,118.581863,121.566095,119.912812,120.366673,109.598909,108.358778,109.459208,108.504526,0.89016,0.88905,-0.32934,-0.32902,-0.32891,-0.33095,-0.92187,224.3437,102.8697,222.002,104.6409,1.86123,-0.31575,1.86292,-0.31607,1.95827,1.95298,1.95789,1.95336,0.5422,0.54067,0.54121,0.54178,0.06,0.05857,0.06117,0.05734,0.22363,0.21871,0.22353,0.21881,1.9183,1.9186,0.55315,0.55276,0.04179,0.04215,0.22117,0.22053,43.79,43.87,40.23702,40.180587,40.293454,40.293454,40.180587,42.371513,41.916322,41.955062,42.561983,43.052686,42.428673,38.01028,38.52801,46.033224,47.143176,43.247238,39.538204,40.326485,46.206008,46.918255,41.234903,40.024755,40.809971,41.741036,42.363849,37.188761,36.559935,37.2611,37.178103,37.755907
9.0,DS-15,-0.30185,-0.17939,0.2074,-0.37871,1.97527,-0.30465,1.94929,-0.35841,1.80607,-0.31942,1.79316,-0.32181,97.766445,-0.18278,-0.07458,2.9445,-0.34293,-0.3476,-0.34103,-0.33486,-0.62685,1.13465,1.11272,-0.1664,-0.16777,-0.14932,-0.18875,288.039,66.5594,288.8729,81.107,1.87184,1.8628,0.51254,0.50384,0.27702,0.28434,0.29285,0.28123,1.95584,1.95755,1.95781,1.95667,0.68274,0.68667,0.68756,0.68696,0.06684,0.07508,0.06705,0.07297,0.09554,0.09531,0.09586,0.09657,1.94851,1.95207,0.67069,0.67987,0.05864,0.06546,0.0846,0.08214,2.293314,2.255519,2.244336,2.279003,4.570487,4.540541,4.48099,4.628136,1.849103,1.853468,321.537175,326.246765,93.621512,92.688277,117.602691,122.150887,117.93083,118.611181,106.485805,109.155383,108.906196,109.949056,0.83641,0.84852,-0.32985,-0.3233,-0.32661,-0.31744,-0.61883,223.5083,102.6433,235.5773,63.5479,1.86712,-0.31595,1.83393,-0.3117,1.95171,1.95667,1.95547,1.95385,0.54473,0.5427,0.55052,0.54579,0.0434,0.05687,0.04509,0.05723,0.21688,0.22164,0.21669,0.21663,1.94504,1.95079,0.54781,0.55734,0.04007,0.04722,0.2053,0.20227,43.14,42.22,41.252822,40.180587,42.325056,42.325056,40.180587,42.710486,41.82593,44.305269,42.833161,41.877583,43.303971,39.068087,48.774583,40.178039,45.195173,44.394746,41.058904,48.244988,41.9496,46.325492,42.439926,41.253035,44.094321,41.185235,43.227114,38.422718,38.103769,38.52601,37.169033,39.892059
