,Name,%Vbur,Total Volume,%Vbur SW,%Vbur NW,%Vbur SE,%Vbur NE
0,10ent-PARMAY,49.5,179.5,48.6,46.5,51.5,51.4
1,19-EHERIT,46.2,179.5,52.0,45.6,45.4,41.9
2,19-FEHWAT,45.2,179.5,40.9,46.3,44.2,49.4
3,19-FEHWEX,45.5,179.5,41.0,46.3,45.1,49.7
4,19-FEHWIB,44.8,179.5,48.0,45.6,45.5,40.2
5,19-POKFAY,47.6,179.5,48.8,41.0,52.6,48.2
6,19-VUTGUO,47.8,179.5,39.9,49.2,50.7,51.4
7,19-WOCVIV,53.3,179.5,44.9,55.7,55.7,56.7
8,19-WOCVOB,51.1,179.5,54.2,42.4,55.7,52.0
9,19-WOCVUH,48.2,179.5,53.5,48.9,50.2,40.1
10,19-WOCWAO,48.1,179.5,40.9,50.3,51.2,49.8
11,2-QIXFIM,42.7,179.5,48.7,38.3,37.9,45.9
12,2-QUKYEC,44.2,179.5,48.2,40.5,39.6,48.6
13,32a-MOXFAJ,48.4,179.5,48.6,43.3,51.5,50.1
14,33c-YAKDOE,41.3,179.5,41.1,50.1,37.0,37.1
15,37c-YIBDOD,41.5,179.5,42.2,41.9,39.2,42.8
16,43-BEPSUL,46.2,179.5,43.6,48.0,44.1,49.3
17,43-BEPTAS,46.4,179.5,43.3,48.8,44.1,49.3
18,44-SUPSII,48.3,179.5,43.9,51.2,52.9,45.1
19,48-SUPSUU,45.9,179.5,48.8,41.7,51.5,41.4
20,48-SUPTAB,49.2,179.5,54.7,46.6,48.4,47.2
21,49-TEYKER,45.8,179.5,47.3,45.5,49.2,41.2
22,49-TEYKIV,43.2,179.5,44.4,43.9,41.0,43.4
23,51b-WAKYOA,43.1,179.5,39.3,35.0,52.8,45.3
24,59-TEYKAN,48.4,179.5,44.2,49.6,51.9,48.1
25,62-YOKYEC,47.8,179.5,53.5,43.5,49.8,44.6
26,64a-AHAZOY,43.4,179.5,40.7,45.1,42.8,45.2
27,8-BEWPEZ,47.0,179.5,46.5,42.9,51.5,46.9
28,9a-TUGCUU,47.1,179.5,44.8,51.6,49.2,42.6
